loan_sequence_no,monthly_reporting_period,curr_actual_upb,curr_loan_delinquency_status,loan_age,remaining_months_to_legal_maturity,curr_interest_rate,curr_deferred_upb
F116Q1040912,201604,182000.0,0,2,178,3.648,0
F116Q1040996,201610,121768.62,0,8,112,3.125,0
F116Q1041008,201606,251000.0,0,4,176,3.2030000000000003,0
F116Q1041049,201608,122000.0,0,6,354,4.375,0
F116Q1041056,201609,64685.44,0,7,113,4.125,0
F116Q1041070,201611,215435.22,1,9,351,4.625,0
F116Q1041078,201608,186000.0,0,6,354,4.25,0
F116Q1041088,201608,306000.0,1,6,354,5.0,0
F116Q1041116,201611,118120.73,0,9,171,3.125,0
F116Q1041135,201605,179000.0,1,3,357,4.125,0
F116Q1041135,201606,179000.0,1,4,356,4.125,0
F116Q1041147,201604,219000.0,0,2,358,3.875,0
F116Q1041152,201605,270000.0,0,3,357,3.875,0
F116Q1041155,201610,262471.7,1,8,352,4.5,0
F116Q1041155,201611,262108.67,1,9,351,4.5,0
F116Q1041184,201611,188442.74,1,9,171,3.625,0
F116Q1041191,201606,160000.0,0,4,356,4.75,0
F116Q1041204,201612,235390.19,0,10,350,4.83,0
F116Q1041211,201605,158000.0,1,3,357,4.75,0
F116Q1041218,201603,120000.0,0,1,359,4.875,0
F116Q1041219,201605,194000.0,0,3,357,4.625,0
F116Q1041235,201611,277053.74,1,9,351,4.58,0
F116Q1041244,201602,347000.0,0,0,360,4.5,0
F116Q1041251,201607,207000.0,0,5,355,4.375,0
F116Q1041263,201602,296000.0,0,0,360,4.25,0
F116Q1041296,201604,128000.0,0,2,358,4.75,0
F116Q1041318,201605,163000.0,0,3,357,4.625,0
F116Q1041332,201604,155000.0,0,1,359,3.889,0
F116Q1041340,201609,447195.93,1,7,353,4.375,0
F116Q1041349,201602,214000.0,0,0,360,4.25,0
F116Q1041355,201607,242000.0,0,5,355,4.375,0
F116Q1041379,201608,397000.0,1,6,354,4.125,0
F116Q1041408,201604,323000.0,1,2,358,4.125,0
F116Q1041434,201605,410000.0,0,3,357,4.25,0
F116Q1041466,201610,125514.96,0,8,352,4.375,0
F116Q1041467,201608,199000.0,1,6,354,4.375,0
F116Q1041467,201609,198339.11,1,7,353,4.375,0
F116Q1041467,201610,198339.11,1,8,352,4.375,0
F116Q1041467,201611,198339.11,1,9,351,4.375,0
F116Q1041467,201612,196865.31,1,10,350,4.375,0
F116Q1041468,201606,225000.0,1,4,356,4.25,0
F116Q1041500,201608,274000.0,0,6,174,3.5,0
F116Q1041556,201603,35000.0,0,1,179,3.375,0
F116Q1041584,201608,244000.0,0,6,354,4.375,0
F116Q1041625,201605,35000.0,1,3,117,4.125,0
F116Q1041626,201612,166634.16,0,10,350,4.25,0
F116Q1041628,201611,0.0,0,9,171,3.25,0
F116Q1041642,201606,406000.0,1,4,356,4.125,0
F116Q1041642,201608,406000.0,1,6,354,4.125,0
F116Q1041649,201612,102471.66,1,10,350,4.125,0
F116Q1041685,201603,192000.0,0,1,359,4.875,0
F116Q1041688,201609,309589.13,1,7,353,4.25,0
F116Q1041688,201611,307831.1,1,9,351,4.25,0
F116Q1041712,201605,125000.0,1,3,357,4.375,0
F116Q1041716,201610,309300.31,1,8,352,4.5,0
F116Q1041716,201611,309300.31,1,9,351,4.5,0
F116Q1041722,201607,166000.0,0,5,355,3.875,0
F116Q1041792,201606,178000.0,1,4,356,4.625,0
F116Q1041792,201608,178000.0,0,6,354,4.625,0
F116Q1041826,201608,65000.0,1,6,354,4.625,0
F116Q1041826,201612,64826.2,1,10,350,4.625,0
F116Q1041839,201605,147000.0,1,3,237,4.125,0
F116Q1041844,201610,216793.8,0,7,173,3.125,0
F116Q1041848,201604,521000.0,1,2,358,4.625,0
F116Q1041850,201609,300819.39,0,7,353,4.0,0
F116Q1041861,201608,250000.0,0,4,356,3.875,0
F116Q1041865,201605,344000.0,0,3,357,3.875,0
F116Q1041875,201612,47319.45,0,10,350,4.75,0
F116Q1041879,201604,347000.0,1,2,178,3.375,0
F116Q1041882,201604,409000.0,1,2,358,4.375,0
F116Q1041905,201606,408000.0,1,4,356,4.25,0
F116Q1041922,201612,321312.18,0,9,170,3.25,0
F116Q1041923,201607,229000.0,1,5,175,3.5,0
F116Q1041946,201610,189809.54,0,8,352,4.125,0
F116Q1041954,201603,236000.0,0,1,359,4.125,0
F116Q1042008,201612,318121.86,1,10,350,4.75,0
F116Q1042011,201606,134000.0,1,4,356,4.875,0
F116Q1042011,201611,133964.77,1,9,351,4.875,0
F116Q1042011,201612,133793.51,1,10,350,4.875,0
F116Q1042079,201606,308000.0,1,4,357,3.875,0
F116Q1042082,201611,410722.82,0,9,351,4.375,0
F116Q1042084,201604,135000.0,0,0,360,4.5,0
F116Q1042094,201607,39000.0,0,5,355,5.125,0
F116Q1042099,201606,99000.0,1,4,356,4.375,0
F116Q1042150,201610,109000.0,0,6,354,3.625,0
F116Q1042160,201606,87000.0,1,4,356,4.75,0
F116Q1042160,201608,87000.0,1,6,354,4.75,0
F116Q1042166,201605,245000.0,0,1,239,3.5,0
F116Q1042201,201607,158000.0,0,5,235,3.75,0
F116Q1042217,201606,128000.0,0,4,176,3.5,0
F116Q1042234,201604,342000.0,0,2,238,4.125,0
F116Q1042278,201608,444000.0,1,5,355,4.375,0
F116Q1042278,201609,443000.0,1,6,354,4.375,0
F116Q1042278,201610,442687.83,1,7,353,4.375,0
F116Q1042284,201607,162000.0,0,5,355,4.5,0
F116Q1042287,201605,262000.0,0,3,357,3.99,0
F116Q1042291,201605,166000.0,1,3,357,4.375,0
F116Q1042291,201609,165850.31,1,7,353,4.375,0
F116Q1042321,201608,164000.0,0,6,354,4.5,0
F116Q1042333,201610,251193.04,0,8,172,3.625,0
F116Q1042397,201610,227039.88,0,8,172,3.625,0
F116Q1042442,201612,98719.19,1,10,350,4.75,0
F116Q1042461,201612,131491.08,1,10,350,4.125,0
F116Q1042468,201608,133000.0,0,6,354,4.125,0
F116Q1042503,201609,584969.12,1,7,353,4.125,0
F116Q1042503,201610,584120.52,1,8,352,4.125,0
F116Q1042503,201611,583269.0,1,9,351,4.125,0
F116Q1042503,201612,583269.0,1,10,350,4.125,0
F116Q1042521,201606,279000.0,0,4,356,4.125,0
F116Q1042583,201604,190000.0,1,2,358,4.75,0
F116Q1042589,201606,188000.0,1,4,176,3.625,0
F116Q1042589,201609,185153.48,1,7,173,3.625,0
F116Q1042594,201612,618971.18,1,10,350,4.625,0
F116Q1042600,201610,170101.25,1,8,352,4.375,0
F116Q1042600,201611,169390.34,1,9,351,4.375,0
F116Q1042601,201604,336000.0,0,2,358,4.125,0
F116Q1042625,201602,459000.0,0,0,360,4.0,0
F116Q1042653,201604,239000.0,0,2,358,4.5,0
F116Q1042662,201611,169836.79,1,9,351,4.25,0
F116Q1042663,201611,198151.58,0,9,351,4.25,0
F116Q1042664,201607,407000.0,0,5,355,4.0,0
F116Q1042675,201607,100000.0,0,5,355,5.0,0
F116Q1042691,201607,249000.0,0,5,355,4.125,0
F116Q1042697,201610,155413.4,1,8,352,4.125,0
F116Q1042728,201612,354118.39,0,10,350,4.25,0
F116Q1042737,201610,253532.44,1,8,352,4.375,0
F116Q1042737,201612,252823.49,1,10,350,4.375,0
F116Q1042756,201609,297010.42,0,7,353,4.125,0
F116Q1042764,201605,67000.0,0,3,357,5.125,0
F116Q1042782,201606,126000.0,0,4,176,3.875,0
F116Q1042825,201611,473828.76,0,9,351,4.125,0
F116Q1042840,201607,87000.0,0,5,355,4.125,0
F116Q1042869,201605,115000.0,1,3,177,4.0,0
F116Q1042871,201612,117433.77,1,10,170,3.875,0
F116Q1042879,201605,115000.0,1,3,176,4.25,0
F116Q1042941,201609,86241.6,1,7,353,4.0,0
F116Q1042957,201603,244000.0,0,1,359,3.875,0
F116Q1042959,201610,115635.52,0,8,352,4.0,0
F116Q1042962,201612,142583.58,0,10,350,4.0,0
F116Q1042976,201608,343000.0,0,6,174,3.625,0
F116Q1042998,201612,138530.1,1,10,170,4.25,0
F116Q1043030,201606,271000.0,0,4,176,3.75,0
F116Q1043040,201606,190000.0,0,4,176,3.75,0
F116Q1043072,201612,117756.43,0,10,170,3.625,0
F116Q1043089,201605,164000.0,1,3,357,4.25,0
F116Q1043114,201604,280000.0,1,2,358,4.5,0
F116Q1043114,201609,278142.53,1,7,353,4.5,0
F116Q1043114,201610,277766.84,1,8,352,4.5,0
F116Q1043114,201611,276631.31,1,9,351,4.5,0
F116Q1043134,201604,377000.0,1,2,178,3.25,0
F116Q1043134,201606,373000.0,0,4,176,3.25,0
F116Q1043135,201611,238887.43,1,9,171,3.5,0
F116Q1043148,201609,125330.29,0,7,173,4.125,0
F116Q1043156,201608,163000.0,1,6,354,4.75,0
F116Q1043156,201609,162569.82,1,7,353,4.75,0
F116Q1043163,201606,377000.0,0,4,176,3.25,0
F116Q1043179,201604,90000.0,0,2,178,3.125,0
F116Q1043199,201604,439000.0,1,2,358,4.625,0
F116Q1043258,201612,195166.6,0,10,350,4.125,0
F116Q1043280,201604,269000.0,0,2,358,4.0,0
F116Q1043305,201609,187054.25,0,7,353,4.25,0
F116Q1043326,201605,304000.0,0,3,357,4.125,0
F116Q1043335,201605,70000.0,1,3,357,4.375,0
F116Q1043344,201608,165000.0,1,6,354,4.375,0
F116Q1043344,201611,163739.67,1,9,351,4.375,0
F116Q1043347,201605,143000.0,0,3,357,4.75,0
F116Q1043363,201610,235312.8,0,8,352,4.625,0
F116Q1043367,201606,346000.0,1,3,357,4.5,0
F116Q1043377,201608,285000.0,1,6,354,4.125,0
F116Q1043377,201612,283803.66,1,10,350,4.125,0
F116Q1043454,201611,535183.45,0,9,351,4.25,0
F116Q1043504,201604,272000.0,1,2,358,4.125,0
F116Q1043564,201608,284000.0,0,6,354,4.0,0
F116Q1043566,201607,414000.0,1,5,355,4.25,0
F116Q1043568,201611,316150.0,1,9,351,4.5,0
F116Q1043599,201607,215000.0,0,5,355,4.375,0
F116Q1043604,201609,175440.98,1,7,173,3.625,0
F116Q1043632,201609,141184.39,0,7,353,3.875,0
F116Q1043670,201608,256000.0,0,6,354,4.5,0
F116Q1043677,201608,289000.0,1,4,356,3.75,0
F116Q1043677,201609,288000.0,1,5,355,3.75,0
F116Q1043679,201602,260000.0,0,0,180,3.5,0
F116Q1043743,201607,128000.0,0,5,175,3.0,0
F116Q1043774,201607,112000.0,0,5,175,2.875,0
F116Q1043818,201609,148990.15,0,7,353,4.5,0
F116Q1043939,201608,152000.0,0,6,174,3.99,0
F116Q1043999,201610,358475.51,0,8,172,3.375,0
F116Q1044005,201607,406000.0,0,5,175,3.5,0
F116Q1044014,201606,336000.0,1,4,356,4.125,0
F116Q1044091,201606,414000.0,1,4,116,3.25,0
F116Q1044091,201608,408000.0,1,6,114,3.25,0
F116Q1044091,201609,405170.04,1,7,113,3.25,0
F116Q1044091,201610,402192.5,1,8,112,3.25,0
F116Q1044091,201611,402192.5,1,9,111,3.25,0
F116Q1044091,201612,402192.5,1,10,110,3.25,0
F116Q1044092,201612,210622.98,1,10,350,4.25,0
F116Q1044136,201610,174491.44,0,8,352,4.875,0
F116Q1044147,201604,412000.0,1,2,358,4.0,0
F116Q1044174,201606,336000.0,0,4,357,4.375,0
F116Q1044215,201612,75143.9,1,9,351,4.25,0
F116Q1044240,201609,315284.73,0,7,353,4.625,0
F116Q1044292,201602,55000.0,0,0,360,4.28,0
F116Q1044341,201605,388000.0,0,3,357,4.0,0
F116Q1044342,201604,359000.0,1,2,358,3.75,0
F116Q1044439,201609,152159.65,0,7,173,3.625,0
F116Q1044448,201609,168674.3,1,7,353,4.625,0
F116Q1044448,201610,168450.36,1,8,352,4.625,0
F116Q1044448,201611,168450.36,1,9,351,4.625,0
F116Q1044448,201612,168225.56,1,10,350,4.625,0
F116Q1044492,201605,60000.0,1,3,177,3.375,0
F116Q1044492,201606,59000.0,1,4,176,3.375,0
F116Q1044493,201609,48876.55,1,7,173,3.43,0
F116Q1044493,201610,48660.54,1,8,172,3.43,0
F116Q1044493,201612,48008.79,1,10,170,3.43,0
F116Q1044519,201607,181000.0,0,5,355,4.25,0
F116Q1044550,201612,236785.72,0,10,350,4.5,0
F116Q1044590,201605,319000.0,1,3,357,4.25,0
F116Q1044590,201607,318000.0,1,5,355,4.25,0
F116Q1044590,201609,316934.56,1,7,353,4.25,0
F116Q1044590,201610,316033.44,1,8,352,4.25,0
F116Q1044624,201604,213000.0,1,2,358,3.875,0
F116Q1044624,201605,213000.0,1,3,357,3.875,0
F116Q1044641,201604,252000.0,1,2,358,5.125,0
F116Q1044661,201608,373000.0,0,6,354,4.5,0
F116Q1044677,201609,508674.07,0,7,353,4.25,0
F116Q1044680,201611,252278.08,1,8,352,4.5,0
F116Q1044692,201611,412136.91,1,9,351,4.0,0
F116Q1044706,201603,64000.0,0,1,359,5.125,0
F116Q1044714,201605,224000.0,1,3,357,4.375,0
F116Q1044725,201604,100000.0,0,2,358,4.25,0
F116Q1044750,201609,233480.06,1,7,353,4.0,0
F116Q1044750,201610,233135.45,1,8,352,4.0,0
F116Q1044750,201611,232789.69,1,9,351,4.0,0
F116Q1044750,201612,232442.78,1,10,350,4.0,0
F116Q1044766,201604,138000.0,1,2,178,3.25,0
F116Q1044777,201612,241894.82,1,10,350,4.75,0
F116Q1044778,201610,197814.61,1,8,352,4.5,0
F116Q1044778,201611,197814.61,1,9,351,4.5,0
F116Q1044778,201612,197546.05,1,10,350,4.5,0
F116Q1044779,201607,258000.0,0,5,355,4.625,0
F116Q1044779,201610,257972.48,1,8,352,4.625,0
F116Q1044779,201611,257972.48,1,9,351,4.625,0
F116Q1044779,201612,257629.99,1,10,350,4.625,0
F116Q1044782,201611,144349.33,0,9,172,3.25,0
F116Q1044785,201610,323507.83,1,8,172,3.5,0
F116Q1044861,201606,81000.0,0,2,358,3.75,0
F116Q1044890,201604,390000.0,0,2,358,4.125,0
F116Q1044915,201605,42000.0,0,3,177,3.625,0
F116Q1044930,201612,197791.99,1,10,230,3.75,0
F116Q1044962,201603,185000.0,0,1,359,4.375,0
F116Q1044981,201612,206994.86,0,10,350,4.125,0
F116Q1044994,201605,199000.0,0,3,357,4.25,0
F116Q1045030,201609,221025.26,0,7,353,4.125,0
F116Q1045047,201611,339447.57,1,9,351,4.875,0
F116Q1045054,201610,169328.54,1,8,352,4.875,0
F116Q1045054,201611,169328.54,1,9,351,4.875,0
F116Q1045054,201612,169328.54,1,10,350,4.875,0
F116Q1045059,201608,115000.0,0,6,354,4.25,0
F116Q1045109,201610,256932.25,0,8,352,4.5,0
F116Q1045112,201611,192257.88,0,9,171,3.875,0
F116Q1045167,201608,222000.0,1,6,174,3.125,0
F116Q1045167,201609,222012.96,1,7,173,3.125,0
F116Q1045167,201610,221009.82,1,8,172,3.125,0
F116Q1045167,201611,217931.16,1,9,171,3.125,0
F116Q1045176,201612,323506.52,1,10,350,4.625,0
F116Q1045205,201607,121000.0,0,5,175,3.875,0
F116Q1045214,201606,299000.0,1,3,357,4.75,0
F116Q1045226,201607,39000.0,0,5,115,4.5,0
F116Q1045269,201608,247000.0,1,6,234,3.75,0
F116Q1045275,201604,60000.0,1,2,358,4.375,0
F116Q1045276,201604,356000.0,1,2,358,4.375,0
F116Q1045276,201605,355000.0,1,3,357,4.375,0
F116Q1045315,201604,180000.0,0,2,358,5.0,0
F116Q1045321,201606,497000.0,1,4,356,4.75,0
F116Q1045346,201607,211000.0,1,5,355,5.125,0
F116Q1045348,201612,210837.92,1,10,350,4.625,0
F116Q1045352,201611,276802.47,0,9,351,4.375,0
F116Q1045369,201602,79000.0,0,0,180,4.0,0
F116Q1045385,201602,33000.0,0,0,180,3.875,0
F116Q1045406,201608,77000.0,1,6,174,3.75,0
F116Q1045428,201604,42000.0,0,2,178,4.0,0
F116Q1045451,201611,53958.47,0,9,171,3.75,0
F116Q1045457,201609,69202.91,0,7,173,4.0,0
F116Q1045487,201610,148446.31,0,8,172,3.625,0
F116Q1045579,201612,68219.82,0,10,170,3.625,0
F116Q1045588,201607,57000.0,1,5,175,3.625,0
F116Q1045588,201608,56000.0,1,6,174,3.625,0
F116Q1045588,201610,55799.94,1,8,172,3.625,0
F116Q1045588,201611,55555.7,1,9,171,3.625,0
F116Q1045588,201612,55065.0,1,10,170,3.625,0
F116Q1045595,201604,56000.0,1,2,178,3.625,0
F116Q1045603,201610,198006.48,1,8,352,5.0,0
F116Q1045606,201605,89000.0,1,3,357,4.625,0
F116Q1045606,201606,89000.0,1,4,356,4.625,0
F116Q1045606,201607,89000.0,1,5,355,4.625,0
F116Q1045606,201608,89000.0,1,6,354,4.625,0
F116Q1045606,201609,89367.89,1,7,353,4.625,0
F116Q1045606,201610,89367.89,1,8,352,4.625,0
F116Q1045606,201611,89367.89,1,9,351,4.625,0
F116Q1045606,201612,89367.89,1,10,350,4.625,0
F116Q1045620,201607,124000.0,0,5,175,3.625,0
F116Q1045628,201607,144000.0,0,5,174,3.625,0
F116Q1045651,201603,114000.0,0,1,179,3.5,0
F116Q1045726,201612,118490.6,1,10,170,3.25,0
F116Q1045738,201605,145000.0,1,3,177,3.625,0
F116Q1045764,201612,135063.54,0,10,170,3.25,0
F116Q1045779,201607,93000.0,0,5,175,4.125,0
F116Q1045781,201607,98000.0,0,5,175,4.125,0
F116Q1045830,201610,87945.49,0,8,172,3.75,0
F116Q1045841,201611,86696.79,0,9,171,4.125,0
F116Q1045847,201608,90000.0,0,6,174,3.75,0
F116Q1045882,201605,123000.0,0,3,177,3.75,0
F116Q1045904,201605,179000.0,0,2,357,4.125,0
F116Q1045915,201604,162000.0,0,2,358,3.875,0
F116Q1045917,201609,79000.0,1,5,355,4.25,0
F116Q1045929,201607,131000.0,1,5,175,3.75,0
F116Q1045940,201612,115240.24,0,10,170,4.5,0
F116Q1045946,201609,135181.61,0,7,113,4.0,0
F116Q1045949,201602,150000.0,0,0,180,3.875,0
F116Q1045966,201611,108204.35,0,9,171,3.75,0
F116Q1045968,201604,121000.0,0,2,178,4.125,0
F116Q1045969,201608,110000.0,0,6,174,3.75,0
F116Q1046008,201602,327000.0,0,0,180,3.5,0
F116Q1046120,201605,267000.0,1,3,177,3.5,0
F116Q1046124,201602,253000.0,0,0,180,3.5,0
F116Q1046127,201604,198000.0,0,2,178,3.5,0
F116Q1046152,201608,173000.0,0,6,174,3.5,0
F116Q1046179,201612,223821.34,0,10,170,3.625,0
F116Q1046212,201607,226000.0,0,5,175,3.5,0
F116Q1046220,201604,363000.0,1,2,178,3.5,0
F116Q1046220,201606,361000.0,1,4,176,3.5,0
F116Q1046253,201605,254000.0,0,3,177,3.625,0
F116Q1046268,201609,272408.12,0,7,173,3.5,0
F116Q1046269,201603,196000.0,0,1,179,3.5,0
F116Q1046273,201612,69294.3,0,10,170,3.5,0
F116Q1046289,201604,253000.0,1,2,178,3.5,0
F116Q1046289,201612,244544.26,1,10,170,3.5,0
F116Q1046342,201602,200000.0,0,0,180,3.5,0
F116Q1046364,201611,163913.43,0,9,171,3.25,0
F116Q1046382,201611,193583.26,0,9,171,3.25,0
F116Q1046399,201612,300492.49,0,10,170,3.0,0
F116Q1046411,201605,297000.0,0,3,177,3.25,0
F116Q1046433,201611,235186.39,0,9,171,3.0,0
F116Q1046465,201606,319000.0,0,4,176,3.25,0
F116Q1046469,201611,270813.39,0,9,171,3.125,0
F116Q1046497,201606,273000.0,0,4,176,2.875,0
F116Q1046562,201612,86800.51,0,10,170,3.5,0
F116Q1046572,201609,86951.4,0,7,173,3.625,0
F116Q1046585,201605,105000.0,1,3,177,3.5,0
F116Q1046585,201606,104000.0,1,4,176,3.5,0
F116Q1046593,201608,105000.0,1,6,174,3.375,0
F116Q1046609,201605,126000.0,1,3,357,4.25,0
F116Q1046614,201607,80000.0,0,3,357,3.625,0
F116Q1046615,201606,98000.0,0,2,178,3.0,0
F116Q1046618,201605,206000.0,1,3,357,4.0,0
F116Q1046622,201603,207000.0,0,0,360,4.125,0
F116Q1046667,201606,129000.0,0,4,236,4.375,0
F116Q1046702,201604,227000.0,0,2,178,3.375,0
F116Q1046714,201602,66000.0,0,0,180,3.125,0
F116Q1046747,201609,360663.22,1,7,173,3.25,0
F116Q1046747,201612,357384.52,1,10,170,3.25,0
F116Q1046750,201603,119000.0,0,1,179,3.5,0
F116Q1046763,201612,151710.52,1,10,350,4.375,0
F116Q1046780,201607,57000.0,0,5,175,3.875,0
F116Q1046799,201607,215000.0,1,5,355,4.75,0
F116Q1046810,201610,364303.33,0,8,352,4.125,0
F116Q1046846,201607,43000.0,1,5,175,4.125,0
F116Q1046846,201608,43000.0,1,6,174,4.125,0
F116Q1046873,201606,345000.0,1,4,176,3.25,0
F116Q1046875,201611,184600.97,0,9,171,3.5,0
F116Q1046888,201612,222469.24,1,10,350,4.875,0
F116Q1046891,201602,223000.0,0,0,360,4.49,0
F116Q1046894,201603,171000.0,0,1,179,4.0,0
F116Q1046972,201604,39000.0,1,2,178,3.625,0
F116Q1046999,201605,60000.0,0,3,177,3.625,0
F116Q1047002,201609,72743.7,0,7,173,3.5,0
F116Q1047005,201604,64000.0,1,2,178,3.625,0
F116Q1047032,201612,101201.37,0,10,170,3.875,0
F116Q1047047,201604,144000.0,0,2,118,3.25,0
F116Q1047057,201605,141000.0,0,3,117,2.875,0
F116Q1047069,201603,87000.0,0,1,119,3.125,0
F116Q1047126,201604,169000.0,1,2,178,3.375,0
F116Q1047126,201605,168000.0,1,3,177,3.375,0
F116Q1047141,201610,168909.54,1,8,172,3.375,0
F116Q1047165,201612,150132.33,0,10,170,3.375,0
F116Q1047174,201609,150060.87,0,7,173,3.5,0
F116Q1047197,201602,166000.0,0,0,180,3.625,0
F116Q1047201,201606,169000.0,1,4,176,3.375,0
F116Q1047206,201607,142000.0,0,5,175,3.375,0
F116Q1047221,201604,162000.0,0,2,178,3.25,0
F116Q1047267,201604,30000.0,1,2,118,3.875,0
F116Q1047267,201605,29000.0,1,3,117,3.875,0
F116Q1047281,201610,31102.85,0,8,112,4.125,0
F116Q1047312,201609,29751.63,0,7,173,4.125,0
F116Q1047394,201612,122570.73,1,10,170,3.25,0
F116Q1047463,201603,128000.0,0,1,179,3.5,0
F116Q1047493,201609,137229.58,0,7,173,3.375,0
F116Q1047510,201604,148000.0,0,2,178,3.5,0
F116Q1047696,201611,87313.63,0,9,111,3.25,0
F116Q1047699,201611,91267.18,0,9,171,3.375,0
F116Q1047705,201604,86000.0,0,2,178,3.25,0
F116Q1047712,201609,98477.35,0,7,173,3.5,0
F116Q1047726,201605,82000.0,0,3,117,3.25,0
F116Q1047742,201610,86520.98,0,8,172,3.5,0
F116Q1047816,201607,366000.0,0,5,175,3.5,0
F116Q1047854,201607,176000.0,0,5,175,3.75,0
F116Q1047887,201602,206000.0,0,0,180,3.5,0
F116Q1047960,201611,336512.1,0,9,171,3.5,0
F116Q1047965,201608,287000.0,0,6,174,3.75,0
F116Q1047970,201612,382872.87,0,10,170,3.375,0
F116Q1047972,201606,329000.0,0,4,176,3.5,0
F116Q1048055,201606,139000.0,1,4,176,3.125,0
F116Q1048090,201602,204000.0,0,0,180,3.125,0
F116Q1048107,201603,156000.0,0,1,179,3.0,0
F116Q1048107,201609,151637.09,1,7,173,3.0,0
F116Q1048122,201607,114000.0,0,5,175,3.0,0
F116Q1048167,201604,210000.0,0,2,178,2.875,0
F116Q1048177,201605,340000.0,0,3,177,3.0,0
F116Q1048178,201611,100642.7,0,9,171,3.125,0
F116Q1048191,201604,339000.0,0,2,178,2.875,0
F116Q1048222,201612,174789.15,0,10,170,3.25,0
F116Q1048229,201611,117256.44,0,9,171,3.125,0
F116Q1048249,201604,409000.0,0,2,178,3.25,0
F116Q1048251,201611,216160.04,0,9,171,3.25,0
F116Q1048255,201605,407000.0,1,3,177,3.0,0
F116Q1048257,201609,218143.12,1,7,173,3.25,0
F116Q1048258,201612,245692.38,0,10,170,3.5,0
F116Q1048288,201604,234000.0,0,2,178,3.0,0
F116Q1048327,201604,154000.0,1,2,178,3.0,0
F116Q1048329,201607,100000.0,0,5,175,3.125,0
F116Q1048344,201610,189020.2,0,8,172,3.125,0
F116Q1048408,201604,184000.0,0,2,178,3.25,0
F116Q1048416,201606,142000.0,0,4,176,3.0,0
F116Q1048489,201602,335000.0,0,0,180,3.125,0
F116Q1048499,201607,269000.0,0,5,175,3.25,0
F116Q1048518,201610,200669.32,0,8,172,3.25,0
F116Q1048553,201608,134000.0,0,6,355,3.75,0
F116Q1048580,201608,78000.0,0,6,234,3.875,0
F116Q1048591,201605,223000.0,0,3,357,4.25,0
F116Q1048592,201606,199000.0,0,2,357,4.5,0
F116Q1048609,201608,253000.0,1,6,355,4.375,0
F116Q1048631,201612,220168.27,0,9,171,3.125,0
F116Q1048638,201608,210000.0,0,6,354,4.25,0
F116Q1048648,201606,304000.0,0,4,357,4.5,0
F116Q1048654,201607,348000.0,0,5,356,4.25,0
F116Q1048673,201605,227000.0,0,3,357,4.25,0
F116Q1048695,201605,89000.0,1,3,357,4.75,0
F116Q1048699,201604,100000.0,0,2,358,4.5,0
F116Q1048709,201609,79218.7,1,7,353,5.0,0
F116Q1048709,201610,79120.4,1,8,352,5.0,0
F116Q1048709,201611,79021.69,1,9,351,5.0,0
F116Q1048709,201612,79021.69,1,10,350,5.0,0
F116Q1048713,201604,347000.0,0,1,359,4.25,0
F116Q1048751,201612,198262.52,1,9,351,4.25,0
F116Q1048765,201608,469000.0,1,6,354,4.375,0
F116Q1048791,201602,345000.0,0,0,360,4.0,0
F116Q1048810,201602,250000.0,0,0,360,3.875,0
F116Q1048815,201604,136000.0,0,0,360,4.125,0
F116Q1048830,201606,104000.0,0,4,356,4.99,0
F116Q1048832,201611,211227.84,0,7,353,3.75,0
F116Q1048833,201609,118856.07,0,7,353,4.375,0
F116Q1048847,201609,123000.0,1,6,354,4.875,0
F116Q1048860,201609,65907.39,0,7,173,3.125,0
F116Q1048868,201602,200000.0,0,0,180,3.375,0
F116Q1048872,201607,220000.0,0,5,175,3.375,0
F116Q1048882,201612,179860.31,1,10,170,3.375,0
F116Q1048888,201610,328483.29,0,8,172,3.625,0
F116Q1048963,201605,101000.0,1,3,357,4.375,0
F116Q1048963,201606,101000.0,1,4,356,4.375,0
F116Q1048963,201607,100000.0,1,5,355,4.375,0
F116Q1048967,201610,42509.57,0,8,172,3.625,0
F116Q1048989,201608,269000.0,0,6,174,3.375,0
F116Q1049030,201612,192455.72,1,10,170,3.875,0
F116Q1049041,201611,381043.53,1,9,351,4.625,0
F116Q1049041,201612,380022.48,1,10,350,4.625,0
F116Q1049076,201604,392000.0,1,2,358,4.25,0
F116Q1049113,201607,293000.0,0,5,235,4.125,0
F116Q1049121,201603,358000.0,0,1,179,3.5,0
F116Q1049121,201604,355000.0,1,2,178,3.5,0
F116Q1049140,201611,94503.22,1,9,351,4.625,0
F116Q1049140,201612,94503.22,1,10,350,4.625,0
F116Q1049147,201609,118701.16,1,7,353,4.625,0
F116Q1049171,201606,222000.0,0,2,358,3.875,0
F116Q1049172,201606,214000.0,0,3,358,3.75,0
F116Q1049197,201609,404506.3,1,7,173,3.625,0
F116Q1049197,201611,404506.3,1,9,171,3.625,0
F116Q1049204,201611,153952.78,0,9,171,3.75,0
F116Q1049209,201604,403000.0,1,2,178,3.625,0
F116Q1049217,201607,330000.0,0,5,355,4.25,0
F116Q1049233,201602,89000.0,0,0,180,3.375,0
F116Q1049247,201610,92197.06,0,8,172,3.25,0
F116Q1049253,201609,62185.3,0,7,173,3.625,0
F116Q1049281,201608,305000.0,1,6,354,4.0,0
F116Q1049281,201609,304659.86,1,7,353,4.0,0
F116Q1049314,201608,119000.0,1,4,176,3.0,0
F116Q1049326,201607,47000.0,0,5,175,3.5,0
F116Q1049374,201610,73375.0,0,8,172,3.375,0
